País,População,Área (km²),IDH
Portugal,10.295.909,92.390,0.864
Quênia,52.573.972,580.367,0.579
Quirguistão,6.524.195,199.951,0.692
Reino Unido,67.133.000,243.610,0.922
República Centro-Africana,4.745.185,622.984,0.367
República Democrática do Congo,102.343.000,2.345.000,0.435
República Dominicana,10.847.904,48.671,0.718
Romênia,22.503.533,238.397,0.821
Ruanda,12.952.218,26.338,0.524
Rússia,145.934.029,17.125.200,0.824
Salomão,669.823,28.896,0.546
Salvador,6.486.205,21.040,0.667
Samoa,198.410,2.842,0.707
San Marino,34.232,61,0.953
São Cristóvão e Nevis,52.823,269,0.76
São Tomé e Príncipe,215.056,964,0.609
São Vicente e Granadinas,110.872,389,0.728
Senegal,16.743.927,196.722,0.505
Serra Leoa,7.976.983,71.740,0.452
Sérvia,7.022.268,88.361,0.806
Seychelles,98.462,455,0.772
Síria,18.284.407,185.180,0.577
Somália,15.442.905,637.657,0.364
Sri Lanka,21.803.000,65.610,0.782
Suazilândia,1.160.164,17.364,0.59
Sudão,43.849.260,1.886.068,0.507
Sudão do Sul,12.778.641,644.329,0.385
Suécia,10.379.295,449.964,0.933
Suíça,8.636.896,41.290,0.936
Suriname,586.632,163.820,0.724
Tailândia,69.518.525,513.120,0.777
Taiwan,23.603.049,36.193,0.926
Tajiquistão,9.537.645,143.100,0.668
Tanzânia,61.498.437,945.087,0.528
Timor-Leste,1.318.445,14.874,0.606
Togo,8.278.791,56.785,0.508
Tonga,105.695,747,0.745
Trinidad e Tobago,1.397.972,5.128,0.81
Tunísia,12.088.577,163.610,0.756
Turcomenistão,5.851.466,491.210,0.745
Turquia,84.339.067,783.562,0.806
Tuvalu,11.792,26,0.641
Ucrânia,41.902.416,603.700,0.773
Uganda,45.741.007,241.038,0.525
Uruguai,3.473.730,176.215,0.809
Uzbequistão,34.261.993,448.978,0.727
Vanuatu,299.607,12.189,0.626
Vaticano,825,0.44,0.966
Venezuela,34.376.436,916.445,0.691
Vietnã,98.168.835,331.212,0.703
Zâmbia,18.383.955,752.612,0.591
Zimbábue,14.862.927,390.757,0.535
